Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,lambda,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym,total_deaths_mean,total_deaths_variance
22,0.100704475,0.86967185,29.25757668,0.533898167,0.283452867,0.635460757,1,0.000742861,10.63004837,0.453039386,11.77039251,11.73245685,7.620417102,2.073933341,10000,0.323844704,37688.407,44722.47135099999
23,0.589329064,0.638159581,64.66523598,0.059806461,0.617401609,0.492803118,1,2.42e-05,0.64310299,0.943287299,18.08650067,24.37738653,2.37606815,18.59782915,10000,0.333419043,55099.245,53708.710975
24,0.980007753,0.112702338,26.96923021,0.034484912,0.809413336,0.9170226,1,0.000825399,7.30100274,0.57733181,0.793367003,14.67232244,9.439952707,17.61981581,10000,0.679893939,100767.756,97271.838464
25,0.887018318,0.11246937,49.25799062,0.442587895,0.92409821,0.751329067,1,0.000599724,4.62720886,0.700323914,0.963568274,3.34026244,11.08669398,5.927881885,10000,0.92854222,80415.395,74109.02097499999
26,0.269377253,0.141880912,71.83943295,0.503277386,0.22161358,0.569941529,1,0.000375696,13.84974409,0.752149952,13.84230029,16.37521883,8.439112977,22.79794129,10000,0.767668742,62938.656,55436.853664
27,0.603980942,0.972482873,60.56273207,0.404833459,0.988232453,0.99382845,1,0.000369019,0.821523834,0.516860931,14.21334065,21.27410779,0.858076637,19.5763799,10000,0.45680229,109397.203,99942.159791
28,0.629550437,0.648365221,15.36812868,0.623206204,0.335712647,0.567993279,1,0.000100548,0.9160358,0.604471309,16.78102379,26.78352754,10.56981625,14.81246039,10000,0.890983997,62935.068,60508.227376
29,0.716345041,0.903181319,76.90521309,0.666284242,0.358147272,0.77524763,1,0.000812467,0.513792205,0.385636061,6.862752999,15.11394037,6.111132203,20.74912479,10000,0.378908875,85339.424,82836.556224
30,0.069236293,0.758453215,72.65455983,0.729582503,0.152170847,0.018280786,1,0.000264704,4.324412064,0.960148777,15.53682422,11.92800455,5.415287471,32.04759644,10000,0.843957188,629.735,654.4007750000001
31,0.531853141,0.702751882,20.92498573,0.26123638,0.927891988,0.054722548,1,0.000183006,10.16274394,0.833392644,19.60784279,16.57336971,7.568440053,28.45573897,10000,0.524444127,7001.586,6443.4546040000005
32,0.157582739,0.97727443,22.79745136,0.753576568,0.856093658,0.159906158,1,0.000466073,13.46510822,0.461262614,4.851899371,18.63619826,2.581758525,26.3138107,10000,0.589682981,9764.131,10038.743839
33,0.478096841,0.718470427,12.50214125,0.3347515,0.666774364,0.785590659,1,0.000442206,2.860095109,0.239736519,6.924015269,21.96303487,2.776947422,20.93335623,10000,0.996047972,86278.851,82832.05879899999
34,0.803866087,0.309547299,70.50239827,0.655926742,0.78104381,0.507985441,1,0.000545824,5.440038426,0.596385389,6.433865783,14.91702811,11.29781973,26.13198618,10000,0.896333774,56350.781,51917.66303900001
35,0.635307479,0.696213834,37.84696083,0.485590856,0.744925152,0.623743431,1,0.000877376,12.45382977,0.591619781,5.436835387,3.701058115,0.107847943,29.53776124,10000,0.439404228,67952.568,65935.341376
36,0.435075656,0.671752453,52.47490574,0.883103904,0.790830386,0.325412021,1,0.000252959,11.82092491,0.676399784,9.550319485,12.89410445,13.83762434,23.15081817,10000,0.303633074,31174.8,29273.056
37,0.982757521,0.105483689,77.35630745,0.209513742,0.443558077,0.106256269,1,0.000200519,9.748525071,0.944943529,10.41596781,9.630010214,8.265412572,1.271505996,10000,0.761848589,12826.075,13869.721375
38,0.695638852,0.684673422,16.03665142,0.578344402,0.006390858,0.116855398,1,0.00070626,4.108277331,0.529664812,9.326783365,11.01556421,12.47874823,13.84198948,10000,0.779622382,13455.566,13803.099644000002
39,0.963674969,0.630674843,13.90856883,0.2347226,0.570163258,0.648995872,1,7.19e-05,5.647329873,0.39240973,10.96886368,1.546497981,3.318901407,6.516062651,10000,0.574141365,71513.062,70580.506156
40,0.112283251,0.897201199,79.08935801,0.66923993,0.238181023,0.690023034,1,0.000207036,8.426350252,0.966075703,16.14772516,4.303970756,13.36843731,17.97724915,10000,0.66094509,59093.281,58420.230039
